,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID,Age,Gender
27,118,Guy,Himuro,GHIMURO,515.127.4565,15-Nov-06,PU_CLERK,2600, - ,114,30,32,Male
28,119,Karen,Colmenares,KCOLMENA,515.127.4566,10-Aug-07,PU_CLERK,2500, - ,114,30,33,Female
29,120,Matthew,Weiss,MWEISS,650.123.1234,18-Jul-04,ST_MAN,8000, - ,100,50,34,Male
30,121,Adam,Fripp,AFRIPP,650.123.2234,10-Apr-05,ST_MAN,8200, - ,100,50,35,Male
31,122,Payam,Kaufling,PKAUFLIN,650.123.3234,01-May-03,ST_MAN,7900, - ,100,50,36,Female
32,123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-Oct-05,ST_MAN,6500, - ,100,50,37,Female
33,124,Kevin,Mourgos,KMOURGOS,650.123.5234,16-Nov-07,ST_MAN,5800, - ,100,50,38,Male
34,125,Julia,Nayer,JNAYER,650.124.1214,16-Jul-05,ST_CLERK,3200, - ,120,50,39,Female
35,126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-Sep-06,ST_CLERK,2700, - ,120,50,40,Female
36,127,James,Landry,JLANDRY,650.124.1334,14-Jan-07,ST_CLERK,2400, - ,120,50,41,Male
37,128,Steven,Markle,SMARKLE,650.124.1434,08-Mar-08,ST_CLERK,2200, - ,120,50,42,Male
38,129,Laura,Bissot,LBISSOT,650.124.5234,20-Aug-05,ST_CLERK,3300, - ,121,50,43,Male
39,130,Mozhe,Atkinson,MATKINSO,650.124.6234,30-Oct-05,ST_CLERK,2800, - ,121,50,44,Male
40,131,James,Marlow,JAMRLOW,650.124.7234,16-Feb-05,ST_CLERK,2500, - ,121,50,45,Male
41,132,TJ,Olson,TJOLSON,650.124.8234,10-Apr-07,ST_CLERK,2100, - ,121,50,46,Male
42,133,Jason,Mallin,JMALLIN,650.127.1934,14-Jun-04,ST_CLERK,3300, - ,122,50,47,Male
43,134,Michael,Rogers,MROGERS,650.127.1834,26-Aug-06,ST_CLERK,2900, - ,122,50,43,Male
44,135,Ki,Gee,KGEE,650.127.1734,12-Dec-07,ST_CLERK,2400, - ,122,50,49,Male
45,136,Hazel,Philtanker,HPHILTAN,650.127.1634,06-Feb-08,ST_CLERK,2200, - ,122,50,56,Male
46,137,Renske,Ladwig,RLADWIG,650.121.1234,14-Jul-03,ST_CLERK,3600, - ,123,50,51,Male
47,138,Stephen,Stiles,SSTILES,650.121.2034,26-Oct-05,ST_CLERK,3200, - ,123,50,52,Male
48,139,John,Seo,JSEO,650.121.2019,12-Feb-06,ST_CLERK,2700, - ,123,50,54,Male
49,140,Joshua,Patel,JPATEL,650.121.1834,06-Apr-06,ST_CLERK,2500, - ,123,50,17,Male
